Ano;Município;Código do Município;Localização;Federal;Estadual;Municipal;Privada
2022;Afonso Cláudio ;3200102;Urbana;0;144;150;0
2022;Água Doce do Norte ;3200169;Urbana;0;56;88;0
2022;Águia Branca ;3200136;Urbana;0;32;51;0
2022;Alegre ;3200201;Urbana;53;185;166;49
2022;Alfredo Chaves ;3200300;Urbana;0;43;109;0
2022;Alto Rio Novo ;3200359;Urbana;0;35;48;0
2022;Anchieta ;3200409;Urbana;0;72;374;38
2022;Apiacá ;3200508;Urbana;0;26;55;0
2022;Aracruz ;3200607;Urbana;45;253;638;213
2022;Atílio Vivácqua ;3200706;Urbana;0;39;97;0
2022;Baixo Guandu ;3200805;Urbana;0;81;272;37
2022;Barra de São Francisco ;3200904;Urbana;0;149;269;42
2022;Boa Esperança ;3201001;Urbana;0;58;103;0
2022;Bom Jesus do Norte ;3201100;Urbana;0;22;77;15
2022;Brejetuba ;3201159;Urbana;0;55;71;0
2022;Cachoeiro de Itapemirim ;3201209;Urbana;0;631;1217;365
2022;Cariacica ;3201308;Urbana;72;1090;2802;541
2022;Castelo ;3201407;Urbana;0;83;238;69
2022;Colatina ;3201506;Urbana;72;293;844;246
2022;Conceição da Barra ;3201605;Urbana;0;102;228;0
2022;Conceição do Castelo ;3201704;Urbana;0;68;72;0
2022;Divino de São Lourenço ;3201803;Urbana;0;25;21;0
2022;Domingos Martins ;3201902;Urbana;0;96;142;16
2022;Dores do Rio Preto ;3202009;Urbana;0;49;50;0
2022;Ecoporanga ;3202108;Urbana;0;144;131;15
2022;Fundão ;3202207;Urbana;0;44;168;11
2022;Governador Lindenberg ;3202256;Urbana;0;60;68;0
2022;Guaçuí ;3202306;Urbana;0;65;260;58
2022;Guarapari ;3202405;Urbana;58;248;862;202
2022;Ibatiba ;3202454;Urbana;41;51;125;15
2022;Ibiraçu ;3202504;Urbana;0;60;81;13
2022;Ibitirama ;3202553;Urbana;0;57;60;0
2022;Iconha ;3202603;Urbana;0;40;86;0
2022;Irupi ;3202652;Urbana;0;44;95;0
2022;Itaguaçu ;3202702;Urbana;0;59;126;0
2022;Itapemirim ;3202801;Urbana;0;98;397;0
2022;Itarana ;3202900;Urbana;0;32;52;0
2022;Iúna ;3203007;Urbana;0;115;191;45
2022;Jaguaré ;3203056;Urbana;0;71;158;23
2022;Jerônimo Monteiro ;3203106;Urbana;0;52;90;0
2022;João Neiva ;3203130;Urbana;0;71;129;21
2022;Laranja da Terra ;3203163;Urbana;0;52;64;0
2022;Linhares ;3203205;Urbana;53;463;1437;318
2022;Mantenópolis ;3203304;Urbana;0;66;88;0
2022;Marataízes ;3203320;Urbana;0;48;498;55
2022;Marechal Floriano ;3203346;Urbana;0;54;114;18
2022;Marilândia ;3203353;Urbana;0;45;83;15
2022;Mimoso do Sul ;3203403;Urbana;0;87;88;0
2022;Montanha ;3203502;Urbana;30;71;180;19
2022;Mucurici ;3203601;Urbana;0;30;62;0
2022;Muniz Freire ;3203700;Urbana;0;80;151;0
2022;Muqui ;3203809;Urbana;0;63;83;11
2022;Nova Venécia ;3203908;Urbana;46;103;446;36
2022;Pancas ;3204005;Urbana;0;72;94;11
2022;Pedro Canário ;3204054;Urbana;0;114;146;4
2022;Pinheiros ;3204104;Urbana;0;62;177;17
2022;Piúma ;3204203;Urbana;41;47;240;17
2022;Ponto Belo ;3204252;Urbana;0;40;58;0
2022;Presidente Kennedy ;3204302;Urbana;0;33;78;0
2022;Rio Bananal ;3204351;Urbana;0;38;166;0
2022;Rio Novo do Sul ;3204401;Urbana;0;44;64;13
2022;Santa Leopoldina ;3204500;Urbana;0;37;33;0
2022;Santa Maria de Jetibá ;3204559;Urbana;0;159;123;11
2022;Santa Teresa ;3204609;Urbana;0;74;183;24
2022;São Domingos do Norte ;3204658;Urbana;0;32;46;0
2022;São Gabriel da Palha ;3204708;Urbana;0;78;188;35
2022;São José do Calçado ;3204807;Urbana;0;32;91;7
2022;São Mateus ;3204906;Urbana;50;377;711;242
2022;São Roque do Canaã ;3204955;Urbana;0;42;54;0
2022;Serra ;3205002;Urbana;61;1616;3618;708
2022;Sooretama ;3205010;Urbana;0;41;274;0
2022;Vargem Alta ;3205036;Urbana;0;74;147;19
2022;Venda Nova do Imigrante ;3205069;Urbana;51;104;170;64
2022;Viana ;3205101;Urbana;21;211;792;17
2022;Vila Pavão ;3205150;Urbana;0;17;48;0
2022;Vila Valério ;3205176;Urbana;0;57;89;0
2022;Vila Velha ;3205200;Urbana;43;876;2863;1446
2022;Vitória ;3205309;Urbana;257;639;2936;1392
2022;Afonso Cláudio ;3200102;Rural;0;11;96;0
2022;Água Doce do Norte ;3200169;Rural;0;0;8;0
2022;Águia Branca ;3200136;Rural;0;30;78;0
2022;Alegre ;3200201;Rural;0;0;11;0
2022;Alfredo Chaves ;3200300;Rural;0;0;45;16
2022;Alto Rio Novo ;3200359;Rural;0;0;6;0
2022;Anchieta ;3200409;Rural;0;0;134;27
2022;Apiacá ;3200508;Rural;0;0;20;0
2022;Aracruz ;3200607;Rural;0;11;136;0
2022;Atílio Vivácqua ;3200706;Rural;0;0;45;0
2022;Baixo Guandu ;3200805;Rural;0;0;18;0
2022;Barra de São Francisco ;3200904;Rural;22;42;53;16
2022;Boa Esperança ;3201001;Rural;0;25;82;13
2022;Bom Jesus do Norte ;3201100;Rural;0;0;1;0
2022;Brejetuba ;3201159;Rural;0;54;45;0
2022;Cachoeiro de Itapemirim ;3201209;Rural;64;64;41;12
2022;Cariacica ;3201308;Rural;0;0;49;0
2022;Castelo ;3201407;Rural;0;0;148;11
2022;Colatina ;3201506;Rural;62;0;82;0
2022;Conceição da Barra ;3201605;Rural;0;34;88;0
2022;Conceição do Castelo ;3201704;Rural;0;0;50;0
2022;Divino de São Lourenço ;3201803;Rural;0;0;16;0
2022;Domingos Martins ;3201902;Rural;0;0;270;0
2022;Dores do Rio Preto ;3202009;Rural;0;0;7;0
2022;Ecoporanga ;3202108;Rural;0;0;39;0
2022;Fundão ;3202207;Rural;0;0;11;0
2022;Governador Lindenberg ;3202256;Rural;0;20;19;0
2022;Guaçuí ;3202306;Rural;0;0;16;0
2022;Guarapari ;3202405;Rural;0;16;142;0
2022;Ibatiba ;3202454;Rural;0;0;72;0
2022;Ibiraçu ;3202504;Rural;0;0;12;0
2022;Ibitirama ;3202553;Rural;0;0;55;9
2022;Iconha ;3202603;Rural;0;0;22;0
2022;Irupi ;3202652;Rural;0;0;21;0
2022;Itaguaçu ;3202702;Rural;0;12;28;0
2022;Itapemirim ;3202801;Rural;0;23;231;0
2022;Itarana ;3202900;Rural;0;27;37;0
2022;Iúna ;3203007;Rural;0;0;62;0
2022;Jaguaré ;3203056;Rural;0;0;187;11
2022;Jerônimo Monteiro ;3203106;Rural;0;0;2;0
2022;João Neiva ;3203130;Rural;0;0;6;0
2022;Laranja da Terra ;3203163;Rural;0;0;36;0
2022;Linhares ;3203205;Rural;0;30;64;0
2022;Mantenópolis ;3203304;Rural;0;0;2;0
2022;Marataízes ;3203320;Rural;0;35;225;0
2022;Marechal Floriano ;3203346;Rural;0;0;56;0
2022;Marilândia ;3203353;Rural;0;0;47;0
2022;Mimoso do Sul ;3203403;Rural;0;20;77;12
2022;Montanha ;3203502;Rural;0;13;25;15
2022;Mucurici ;3203601;Rural;0;0;7;0
2022;Muniz Freire ;3203700;Rural;0;0;50;0
2022;Muqui ;3203809;Rural;0;0;20;0
2022;Nova Venécia ;3203908;Rural;0;29;183;10
2022;Pancas ;3204005;Rural;0;1;50;0
2022;Pedro Canário ;3204054;Rural;0;13;33;0
2022;Pinheiros ;3204104;Rural;0;25;29;9
2022;Piúma ;3204203;Rural;0;0;18;0
2022;Ponto Belo ;3204252;Rural;0;4;0;0
2022;Presidente Kennedy ;3204302;Rural;0;0;236;0
2022;Rio Bananal ;3204351;Rural;0;0;97;10
2022;Rio Novo do Sul ;3204401;Rural;0;14;41;8
2022;Santa Leopoldina ;3204500;Rural;0;13;77;0
2022;Santa Maria de Jetibá ;3204559;Rural;28;76;249;16
2022;Santa Teresa ;3204609;Rural;56;1;30;0
2022;São Domingos do Norte ;3204658;Rural;0;0;69;0
2022;São Gabriel da Palha ;3204708;Rural;0;34;29;15
2022;São José do Calçado ;3204807;Rural;0;0;4;0
2022;São Mateus ;3204906;Rural;0;25;294;9
