Ano;Município;Código do Município;Creche;Pré-Escola;EF - Anos Iniciais;EF - Anos Finais;EM Propedêutico ;EM Integrado
2022;Afonso Cláudio ;3200102;49;65;101;174;102;14
2022;Água Doce do Norte ;3200169;8;31;50;64;29;19
2022;Águia Branca ;3200136;21;32;57;88;26;21
2022;Alegre ;3200201;98;60;112;153;101;106
2022;Alfredo Chaves ;3200300;23;31;49;104;30;30
2022;Alto Rio Novo ;3200359;9;10;27;33;17;0
2022;Anchieta ;3200409;181;131;180;188;26;56
2022;Apiacá ;3200508;12;10;31;41;24;12
2022;Aracruz ;3200607;147;283;422;338;234;50
2022;Atílio Vivácqua ;3200706;38;39;47;48;21;25
2022;Baixo Guandu ;3200805;87;87;137;125;43;47
2022;Barra de São Francisco ;3200904;52;96;195;218;96;53
2022;Boa Esperança ;3201001;35;39;91;95;34;51
2022;Bom Jesus do Norte ;3201100;22;20;40;27;13;0
2022;Brejetuba ;3201159;21;40;80;105;76;19
2022;Cachoeiro de Itapemirim ;3201209;457;333;733;632;358;196
2022;Cariacica ;3201308;442;851;1720;1372;663;329
2022;Castelo ;3201407;66;116;202;199;56;57
2022;Colatina ;3201506;248;252;480;418;217;241
2022;Conceição da Barra ;3201605;63;69;176;175;74;12
2022;Conceição do Castelo ;3201704;26;38;64;70;43;0
2022;Divino de São Lourenço ;3201803;2;14;23;23;15;0
2022;Domingos Martins ;3201902;55;128;194;264;70;24
2022;Dores do Rio Preto ;3202009;14;23;32;50;34;17
2022;Ecoporanga ;3202108;62;52;94;144;68;17
2022;Fundão ;3202207;58;51;80;61;31;17
2022;Governador Lindenberg ;3202256;37;35;46;63;36;0
2022;Guaçuí ;3202306;82;66;134;112;65;36
2022;Guarapari ;3202405;218;245;516;422;238;93
2022;Ibatiba ;3202454;10;42;108;93;41;57
2022;Ibiraçu ;3202504;16;22;62;58;27;19
2022;Ibitirama ;3202553;33;44;63;54;30;9
2022;Iconha ;3202603;30;20;45;46;20;14
2022;Irupi ;3202652;32;26;55;52;30;11
2022;Itaguaçu ;3202702;52;36;55;83;35;25
2022;Itapemirim ;3202801;178;102;236;252;63;37
2022;Itarana ;3202900;37;26;30;65;33;12
2022;Iúna ;3203007;53;62;133;161;80;33
2022;Jaguaré ;3203056;53;82;143;162;46;30
2022;Jerônimo Monteiro ;3203106;19;21;44;43;23;26
2022;João Neiva ;3203130;32;38;61;54;24;19
2022;Laranja da Terra ;3203163;8;24;36;87;42;0
2022;Linhares ;3203205;529;392;676;599;311;139
2022;Mantenópolis ;3203304;15;26;54;74;51;0
2022;Marataízes ;3203320;171;119;324;204;73;11
2022;Marechal Floriano ;3203346;34;47;92;74;40;29
2022;Marilândia ;3203353;36;32;37;67;37;18
2022;Mimoso do Sul ;3203403;26;27;79;112;61;38
2022;Montanha ;3203502;55;46;107;123;47;58
2022;Mucurici ;3203601;13;23;29;33;19;0
2022;Muniz Freire ;3203700;33;47;95;118;58;26
2022;Muqui ;3203809;23;18;60;75;37;14
2022;Nova Venécia ;3203908;109;169;229;290;88;103
2022;Pancas ;3204005;27;30;66;87;54;13
2022;Pedro Canário ;3204054;48;52;98;98;68;21
2022;Pinheiros ;3204104;37;77;103;115;39;31
2022;Piúma ;3204203;59;69;128;90;28;56
2022;Ponto Belo ;3204252;17;14;34;30;17;0
2022;Presidente Kennedy ;3204302;79;63;111;89;26;20
2022;Rio Bananal ;3204351;48;53;85;110;29;41
2022;Rio Novo do Sul ;3204401;29;32;52;67;35;0
2022;Santa Leopoldina ;3204500;19;32;41;66;20;19
2022;Santa Maria de Jetibá ;3204559;104;137;189;279;115;55
2022;Santa Teresa ;3204609;48;54;104;123;68;74
2022;São Domingos do Norte ;3204658;11;23;57;73;22;0
2022;São Gabriel da Palha ;3204708;55;53;116;155;61;30
2022;São José do Calçado ;3204807;10;21;40;51;18;15
2022;São Mateus ;3204906;250;354;549;593;261;76
2022;São Roque do Canaã ;3204955;26;26;52;57;33;20
2022;Serra ;3205002;857;1110;2285;1621;792;227
2022;Sooretama ;3205010;83;62;141;113;49;24
2022;Vargem Alta ;3205036;29;46;80;106;52;0
2022;Venda Nova do Imigrante ;3205069;88;72;108;111;74;69
2022;Viana ;3205101;184;198;353;264;116;74
2022;Vila Pavão ;3205150;9;23;39;79;14;17
2022;Vila Valério ;3205176;37;39;65;68;37;0
2022;Vila Velha ;3205200;531;841;1975;1592;951;292
2022;Vitória ;3205309;1192;913;1576;1287;751;397
2023;Afonso Cláudio ;3200102;59;66;107;181;101;22
2023;Água Doce do Norte ;3200169;10;24;48;82;43;21
2023;Águia Branca ;3200136;21;35;59;89;25;23
2023;Alegre ;3200201;104;63;110;151;101;126
2023;Alfredo Chaves ;3200300;27;35;52;105;27;40
2023;Alto Rio Novo ;3200359;12;13;34;36;18;0
2023;Anchieta ;3200409;184;121;179;189;34;71
2023;Apiacá ;3200508;12;11;30;39;23;16
2023;Aracruz ;3200607;161;283;438;360;277;57
2023;Atílio Vivácqua ;3200706;50;47;48;56;17;25
2023;Baixo Guandu ;3200805;95;86;142;117;49;50
2023;Barra de São Francisco ;3200904;61;95;188;214;128;39
2023;Boa Esperança ;3201001;37;38;88;94;55;53
2023;Bom Jesus do Norte ;3201100;24;20;43;26;13;0
2023;Brejetuba ;3201159;21;42;80;99;64;34
2023;Cachoeiro de Itapemirim ;3201209;452;332;744;688;394;229
2023;Cariacica ;3201308;416;866;1738;1388;609;447
2023;Castelo ;3201407;68;122;234;210;51;51
2023;Colatina ;3201506;234;267;469;420;231;246
2023;Conceição da Barra ;3201605;65;69;170;187;68;19
2023;Conceição do Castelo ;3201704;27;38;71;70;46;0
2023;Divino de São Lourenço ;3201803;2;14;23;23;19;12
2023;Domingos Martins ;3201902;58;130;182;274;71;35
2023;Dores do Rio Preto ;3202009;14;25;38;49;36;22
2023;Ecoporanga ;3202108;59;49;91;130;71;23
2023;Fundão ;3202207;59;53;79;72;36;26
2023;Governador Lindenberg ;3202256;35;32;52;70;40;0
2023;Guaçuí ;3202306;91;62;128;92;49;35
2023;Guarapari ;3202405;246;249;516;431;265;102
2023;Ibatiba ;3202454;14;46;129;94;43;62
2023;Ibiraçu ;3202504;25;22;68;61;24;17
2023;Ibitirama ;3202553;35;33;59;46;31;8
2023;Iconha ;3202603;27;22;39;39;18;15
2023;Irupi ;3202652;33;27;53;57;36;25
2023;Itaguaçu ;3202702;53;37;59;78;37;25
2023;Itapemirim ;3202801;166;107;226;240;63;45
2023;Itarana ;3202900;42;28;44;66;38;16
2023;Iúna ;3203007;45;63;135;150;93;54
2023;Jaguaré ;3203056;53;83;136;155;52;31
2023;Jerônimo Monteiro ;3203106;23;22;47;46;29;26
2023;João Neiva ;3203130;34;41;67;53;19;23
2023;Laranja da Terra ;3203163;7;24;38;95;47;0
2023;Linhares ;3203205;541;435;696;623;365;181
2023;Mantenópolis ;3203304;11;25;52;70;56;0
2023;Marataízes ;3203320;188;146;346;247;78;22
2023;Marechal Floriano ;3203346;34;46;84;82;40;42
2023;Marilândia ;3203353;39;30;37;69;36;30
2023;Mimoso do Sul ;3203403;32;38;87;121;72;52
2023;Montanha ;3203502;60;51;95;133;58;59
2023;Mucurici ;3203601;15;20;23;26;19;0
2023;Muniz Freire ;3203700;32;51;101;108;55;34
2023;Muqui ;3203809;23;22;64;74;44;18
2023;Nova Venécia ;3203908;123;179;217;294;108;104
2023;Pancas ;3204005;28;31;70;86;54;18
2023;Pedro Canário ;3204054;50;54;98;101;79;25
2023;Pinheiros ;3204104;39;77;103;116;41;32
2023;Piúma ;3204203;65;71;134;98;38;70
2023;Ponto Belo ;3204252;18;18;36;36;19;10
2023;Presidente Kennedy ;3204302;57;65;104;79;25;25
2023;Rio Bananal ;3204351;63;59;91;111;31;49
2023;Rio Novo do Sul ;3204401;35;37;44;72;41;0
2023;Santa Leopoldina ;3204500;16;35;47;63;25;22
2023;Santa Maria de Jetibá ;3204559;99;147;186;278;120;76
2023;Santa Teresa ;3204609;44;61;108;117;74;83
2023;São Domingos do Norte ;3204658;14;22;63;70;25;0
