Ano;Município;Código do Município;Vínculo Funcional;Federal;Estadual;Municipal
2022;Afonso Cláudio ;3200102;Concursado/efetivo/estável;0;22;140
2022;Água Doce do Norte ;3200169;Concursado/efetivo/estável;0;8;47
2022;Águia Branca ;3200136;Concursado/efetivo/estável;0;5;19
2022;Alegre ;3200201;Concursado/efetivo/estável;50;33;114
2022;Alfredo Chaves ;3200300;Concursado/efetivo/estável;0;14;69
2022;Alto Rio Novo ;3200359;Concursado/efetivo/estável;0;8;22
2022;Anchieta ;3200409;Concursado/efetivo/estável;0;27;231
2022;Apiacá ;3200508;Concursado/efetivo/estável;0;4;64
2022;Aracruz ;3200607;Concursado/efetivo/estável;34;74;486
2022;Atílio Vivácqua ;3200706;Concursado/efetivo/estável;0;6;61
2022;Baixo Guandu ;3200805;Concursado/efetivo/estável;0;26;164
2022;Barra de São Francisco ;3200904;Concursado/efetivo/estável;19;21;96
2022;Boa Esperança ;3201001;Concursado/efetivo/estável;0;17;69
2022;Bom Jesus do Norte ;3201100;Concursado/efetivo/estável;0;7;57
2022;Brejetuba ;3201159;Concursado/efetivo/estável;0;10;50
2022;Cachoeiro de Itapemirim ;3201209;Concursado/efetivo/estável;57;183;467
2022;Cariacica ;3201308;Concursado/efetivo/estável;67;317;1780
2022;Castelo ;3201407;Concursado/efetivo/estável;0;34;147
2022;Colatina ;3201506;Concursado/efetivo/estável;117;80;578
2022;Conceição da Barra ;3201605;Concursado/efetivo/estável;0;26;113
2022;Conceição do Castelo ;3201704;Concursado/efetivo/estável;0;17;33
2022;Divino de São Lourenço ;3201803;Concursado/efetivo/estável;0;2;5
2022;Domingos Martins ;3201902;Concursado/efetivo/estável;0;27;103
2022;Dores do Rio Preto ;3202009;Concursado/efetivo/estável;0;11;19
2022;Ecoporanga ;3202108;Concursado/efetivo/estável;0;19;124
2022;Fundão ;3202207;Concursado/efetivo/estável;0;7;85
2022;Governador Lindenberg ;3202256;Concursado/efetivo/estável;0;13;32
2022;Guaçuí ;3202306;Concursado/efetivo/estável;0;18;111
2022;Guarapari ;3202405;Concursado/efetivo/estável;52;87;582
2022;Ibatiba ;3202454;Concursado/efetivo/estável;37;21;90
2022;Ibiraçu ;3202504;Concursado/efetivo/estável;0;17;64
2022;Ibitirama ;3202553;Concursado/efetivo/estável;0;8;52
2022;Iconha ;3202603;Concursado/efetivo/estável;0;9;26
2022;Irupi ;3202652;Concursado/efetivo/estável;0;10;78
2022;Itaguaçu ;3202702;Concursado/efetivo/estável;0;27;26
2022;Itapemirim ;3202801;Concursado/efetivo/estável;0;39;209
2022;Itarana ;3202900;Concursado/efetivo/estável;0;20;14
2022;Iúna ;3203007;Concursado/efetivo/estável;0;29;79
2022;Jaguaré ;3203056;Concursado/efetivo/estável;0;20;147
2022;Jerônimo Monteiro ;3203106;Concursado/efetivo/estável;0;14;41
2022;João Neiva ;3203130;Concursado/efetivo/estável;0;9;87
2022;Laranja da Terra ;3203163;Concursado/efetivo/estável;0;8;40
2022;Linhares ;3203205;Concursado/efetivo/estável;51;139;1216
2022;Mantenópolis ;3203304;Concursado/efetivo/estável;0;21;65
2022;Marataízes ;3203320;Concursado/efetivo/estável;0;33;417
2022;Marechal Floriano ;3203346;Concursado/efetivo/estável;0;21;31
2022;Marilândia ;3203353;Concursado/efetivo/estável;0;11;49
2022;Mimoso do Sul ;3203403;Concursado/efetivo/estável;0;31;70
2022;Montanha ;3203502;Concursado/efetivo/estável;23;19;47
2022;Mucurici ;3203601;Concursado/efetivo/estável;0;3;25
2022;Muniz Freire ;3203700;Concursado/efetivo/estável;0;16;62
2022;Muqui ;3203809;Concursado/efetivo/estável;0;9;54
2022;Nova Venécia ;3203908;Concursado/efetivo/estável;38;26;228
2022;Pancas ;3204005;Concursado/efetivo/estável;0;15;51
2022;Pedro Canário ;3204054;Concursado/efetivo/estável;0;30;73
2022;Pinheiros ;3204104;Concursado/efetivo/estável;0;12;136
2022;Piúma ;3204203;Concursado/efetivo/estável;35;24;107
2022;Ponto Belo ;3204252;Concursado/efetivo/estável;0;6;25
2022;Presidente Kennedy ;3204302;Concursado/efetivo/estável;0;10;60
2022;Rio Bananal ;3204351;Concursado/efetivo/estável;0;11;103
2022;Rio Novo do Sul ;3204401;Concursado/efetivo/estável;0;16;49
2022;Santa Leopoldina ;3204500;Concursado/efetivo/estável;0;5;40
2022;Santa Maria de Jetibá ;3204559;Concursado/efetivo/estável;23;35;144
2022;Santa Teresa ;3204609;Concursado/efetivo/estável;54;19;35
2022;São Domingos do Norte ;3204658;Concursado/efetivo/estável;0;4;18
2022;São Gabriel da Palha ;3204708;Concursado/efetivo/estável;0;21;108
2022;São José do Calçado ;3204807;Concursado/efetivo/estável;0;10;15
